Date,Close,BVS
2016-11-22,1620.0,20.0
2016-11-23,1630.0,20.0
2016-11-24,1645.0,20.0
2016-11-25,1640.0,20.0
2016-11-28,1680.0,20.0
2016-11-29,1630.0,20.0
2016-11-30,1530.0,20.0
2016-12-01,1610.0,20.0
2016-12-02,1665.0,20.0
2016-12-05,1730.0,20.0
2016-12-06,1730.0,20.0
2016-12-07,1710.0,20.0
2016-12-08,1650.0,20.0
2016-12-09,1680.0,20.0
2016-12-13,1700.0,20.0
2016-12-14,1690.0,20.0
2016-12-15,1670.0,20.0
2016-12-16,1660.0,20.0
2016-12-19,1695.0,20.0
2016-12-20,1700.0,20.0
2016-12-21,1670.0,20.0
2016-12-22,1680.0,20.0
2016-12-23,1655.0,20.0
2016-12-27,1675.0,20.0
2016-12-28,1690.0,20.0
2016-12-29,1690.0,20.0
2016-12-30,1695.0,20.0
2017-01-03,1740.0,20.0
2017-01-04,1700.0,20.0
2017-01-05,1665.0,20.0
2017-01-06,1695.0,20.0
2017-01-09,1720.0,20.0
2017-01-10,1685.0,20.0
2017-01-11,1745.0,20.0
2017-01-12,1715.0,20.0
2017-01-13,1700.0,20.0
2017-01-16,1700.0,20.0
2017-01-17,1700.0,20.0
2017-01-18,1720.0,20.0
2017-01-19,1730.0,20.0
2017-01-20,1730.0,20.0
2017-01-23,1725.0,20.0
2017-01-24,1725.0,20.0
2017-01-25,1740.0,20.0
2017-01-26,1730.0,20.0
2017-01-27,1725.0,20.0
2017-01-30,1715.0,20.0
2017-01-31,1695.0,20.0
2017-02-01,1750.0,20.0
2017-02-02,1740.0,20.0
2017-02-03,1720.0,20.0
2017-02-06,1740.0,20.0
2017-02-07,1730.0,20.0
2017-02-08,1720.0,20.0
2017-02-09,1725.0,20.0
2017-02-10,1710.0,20.0
2017-02-13,1680.0,20.0
2017-02-14,1645.0,20.0
2017-02-16,1700.0,20.0
2017-02-17,1660.0,20.0
2017-02-20,1695.0,20.0
2017-02-21,1720.0,20.0
2017-02-22,1705.0,20.0
2017-02-23,1715.0,20.0
2017-02-24,1700.0,20.0
2017-02-27,1700.0,20.0
2017-02-28,1695.0,20.0
2017-03-01,1675.0,20.0
2017-03-02,1685.0,20.0
2017-03-03,1685.0,20.0
2017-03-06,1685.0,20.0
2017-03-07,1695.0,20.0
2017-03-08,1695.0,20.0
2017-03-09,1685.0,20.0
2017-03-10,1600.0,20.0
2017-03-13,1625.0,20.0
2017-03-14,1645.0,20.0
2017-03-15,1650.0,20.0
2017-03-16,1680.0,20.0
2017-03-17,1705.0,20.0
2017-03-20,1705.0,20.0
2017-03-21,1730.0,20.0
2017-03-22,1730.0,20.0
2017-03-23,1740.0,20.0
2017-03-24,1770.0,20.0
2017-03-27,1800.0,20.0
2017-03-29,1820.0,20.0
2017-03-30,1820.0,20.0
2017-03-31,1750.0,20.0
2017-04-03,1805.0,20.0
2017-04-04,1930.0,20.0
2017-04-05,1890.0,20.0
2017-04-06,1895.0,20.0
2017-04-07,1890.0,20.0
2017-04-10,1890.0,20.0
2017-04-11,1870.0,20.0
2017-04-12,1890.0,20.0
2017-04-13,1860.0,20.0
2017-04-17,1850.0,20.0
2017-04-18,1835.0,20.0
2017-04-20,1840.0,20.0
2017-04-21,1840.0,20.0
2017-04-25,1845.0,20.0
2017-04-26,1820.0,20.0
2017-04-27,1840.0,20.0
2017-04-28,1775.0,20.0
2017-05-02,1720.0,20.0
2017-05-03,1630.0,20.0
2017-05-04,1615.0,20.0
2017-05-05,1560.0,20.0
2017-05-08,1615.0,20.0
2017-05-09,1550.0,20.0
2017-05-10,1495.0,20.0
2017-05-12,1480.0,20.0
2017-05-15,1485.0,20.0
2017-05-16,1465.0,20.0
2017-05-17,1410.0,20.0
2017-05-18,1435.0,20.0
2017-05-19,1465.0,20.0
2017-05-22,1435.0,20.0
2017-05-23,1475.0,20.0
2017-05-24,1480.0,20.0
2017-05-26,1485.0,20.0
2017-05-29,1465.0,20.0
2017-05-30,1460.0,20.0
2017-05-31,1520.0,20.0
2017-06-02,1470.0,20.0
2017-06-05,1545.0,20.0
2017-06-06,1605.0,20.0
2017-06-07,1600.0,20.0
2017-06-08,1575.0,20.0
2017-06-09,1555.0,20.0
2017-06-12,1540.0,20.0
2017-06-13,1600.0,20.0
2017-06-14,1660.0,20.0
2017-06-15,1645.0,20.0
2017-06-16,1605.0,20.0
2017-06-19,1565.0,20.0
2017-06-20,1640.0,20.0
2017-06-21,1595.0,20.0
2017-06-22,1580.0,20.0
2017-07-03,1630.0,20.0
2017-07-04,1580.0,20.0
2017-07-05,1620.0,20.0
2017-07-06,1635.0,20.0
2017-07-07,1610.0,20.0
2017-07-10,1595.0,20.0
2017-07-11,1615.0,20.0
2017-07-12,1665.0,20.0
2017-07-13,1625.0,20.0
2017-07-14,1665.0,20.0
2017-07-17,1700.0,20.0
2017-07-18,1695.0,20.0
2017-07-19,1765.0,20.0
2017-07-20,1820.0,20.0
2017-07-21,1820.0,20.0
2017-07-24,1835.0,20.0
2017-07-25,1830.0,20.0
2017-07-26,1800.0,20.0
2017-07-27,1800.0,20.0
2017-07-28,1825.0,20.0
2017-07-31,1785.0,20.0
2017-08-01,1860.0,20.0
2017-08-02,1895.0,20.0
2017-08-03,1845.0,20.0
2017-08-04,1870.0,20.0
2017-08-07,1850.0,20.0
2017-08-08,1870.0,20.0
2017-08-09,1805.0,20.0
2017-08-10,1850.0,20.0
2017-08-11,1820.0,20.0
2017-08-14,1850.0,20.0
2017-08-15,1855.0,20.0
2017-08-16,1880.0,20.0
2017-08-18,1875.0,20.0
2017-08-21,1865.0,20.0
2017-08-22,1860.0,20.0
2017-08-23,1955.0,20.0
2017-08-24,1965.0,20.0
2017-08-25,1945.0,20.0
2017-08-28,1890.0,20.0
2017-08-29,1870.0,20.0
2017-08-30,1890.0,20.0
2017-08-31,1825.0,20.0
2017-09-04,1815.0,20.0
2017-09-05,1860.0,20.0
2017-09-06,1890.0,20.0
2017-09-07,1865.0,20.0
2017-09-08,1885.0,20.0
2017-09-11,1900.0,20.0
2017-09-12,1865.0,20.0
2017-09-13,1715.0,20.0
2017-09-14,1740.0,20.0
2017-09-15,1775.0,20.0
2017-09-18,1820.0,20.0
2017-09-19,1870.0,20.0
2017-09-20,1860.0,20.0
2017-09-22,1815.0,20.0
2017-09-25,1755.0,20.0
2017-09-26,1710.0,20.0
2017-09-27,1670.0,20.0
2017-09-28,1765.0,20.0
2017-09-29,1825.0,20.0
2017-10-02,1775.0,20.0
2017-10-03,1780.0,20.0
2017-10-04,1825.0,20.0
2017-10-05,1830.0,20.0
2017-10-06,1875.0,20.0
2017-10-09,1890.0,20.0
2017-10-10,1900.0,20.0
2017-10-11,1880.0,20.0
2017-10-12,1900.0,20.0
2017-10-13,1900.0,20.0
2017-10-16,1870.0,20.0
2017-10-17,1900.0,20.0
2017-10-18,1880.0,20.0
2017-10-19,1865.0,20.0
2017-10-20,1855.0,20.0
2017-10-23,1850.0,20.0
2017-10-24,1890.0,20.0
2017-10-25,1900.0,20.0
2017-10-26,1825.0,20.0
2017-10-27,1840.0,20.0
2017-10-30,1835.0,20.0
2017-10-31,1825.0,20.0
2017-11-01,1910.0,20.0
2017-11-02,1900.0,20.0
2017-11-03,1895.0,20.0
2017-11-06,1900.0,20.0
2017-11-07,1900.0,20.0
2017-11-08,1820.0,20.0
2017-11-09,1830.0,20.0
2017-11-10,1815.0,20.0
2017-11-13,1820.0,20.0
2017-11-14,1815.0,20.0
2017-11-15,1735.0,20.0
2017-11-16,1755.0,20.0
2017-11-17,1770.0,20.0
2017-11-20,1755.0,20.0
2017-11-21,1715.0,20.0
2017-11-22,1745.0,20.0
2017-11-23,1725.0,20.0
2017-11-24,1710.0,20.0
2017-11-27,1695.0,20.0
2017-11-28,1715.0,20.0
2017-11-29,1775.0,20.0
2017-11-30,1700.0,20.0
2017-12-04,1775.0,20.0
2017-12-05,1780.0,20.0
2017-12-06,1755.0,20.0
2017-12-07,1710.0,20.0
2017-12-08,1725.0,20.0
2017-12-11,1710.0,20.0
2017-12-12,1810.0,20.0
2017-12-13,1815.0,20.0
2017-12-14,1805.0,20.0
2017-12-15,1805.0,20.0
2017-12-18,1800.0,20.0
2017-12-19,1835.0,20.0
2017-12-20,1800.0,20.0
2017-12-21,1870.0,20.0
2017-12-22,1890.0,20.0
2017-12-27,1895.0,20.0
2017-12-28,1890.0,20.0
2017-12-29,1860.0,20.0
2018-01-02,1880.0,20.0
2018-01-03,1830.0,20.0
2018-01-04,1915.0,20.0
2018-01-05,1990.0,20.0
2018-01-08,2160.0,20.0
2018-01-09,2180.0,20.0
2018-01-10,2210.0,20.0
2018-01-11,2180.0,20.0
2018-01-12,2230.0,20.0
2018-01-15,2230.0,20.0
2018-01-16,2190.0,20.0
2018-01-17,2170.0,20.0
2018-01-18,2170.0,20.0
2018-01-19,2180.0,20.0
2018-01-22,2310.0,20.0
2018-01-23,2420.0,20.0
2018-01-24,2440.0,20.0
2018-01-25,2450.0,20.0
2018-01-26,2440.0,20.0
2018-01-29,2560.0,20.0
2018-01-30,2550.0,20.0
2018-01-31,2450.0,20.0
2018-02-01,2400.0,20.0
2018-02-02,2470.0,20.0
2018-02-05,2520.0,20.0
2018-02-06,2450.0,20.0
2018-02-07,2450.0,20.0
2018-02-08,2420.0,20.0
2018-02-09,2320.0,20.0
2018-02-12,2350.0,20.0
2018-02-13,2420.0,20.0
2018-02-14,2440.0,20.0
2018-02-15,2470.0,20.0
2018-02-19,2490.0,20.0
2018-02-20,2430.0,20.0
2018-02-21,2470.0,20.0
2018-02-22,2480.0,20.0
2018-02-23,2480.0,20.0
2018-02-26,2390.0,20.0
2018-02-27,2400.0,20.0
2018-02-28,2350.0,20.0
2018-03-01,2420.0,20.0
2018-03-02,2310.0,20.0
2018-03-05,2320.0,20.0
2018-03-06,2330.0,20.0
2018-03-07,2160.0,20.0
2018-03-08,2190.0,20.0
2018-03-09,2170.0,20.0
2018-03-12,2220.0,20.0
2018-03-13,2170.0,20.0
2018-03-14,2070.0,20.0
2018-03-15,2050.0,20.0
2018-03-16,2040.0,20.0
2018-03-19,2040.0,20.0
2018-03-20,2070.0,20.0
2018-03-21,2040.0,20.0
2018-03-22,2020.0,20.0
2018-03-23,1995.0,20.0
2018-03-26,2030.0,20.0
2018-03-27,2040.0,20.0
2018-03-28,2040.0,20.0
2018-03-29,2130.0,20.0
2018-04-02,2130.0,20.0
2018-04-03,2120.0,20.0
2018-04-04,2040.0,20.0
2018-04-05,2020.0,20.0
2018-04-06,2030.0,20.0
2018-04-09,2070.0,20.0
2018-04-10,2110.0,20.0
2018-04-11,2140.0,20.0
2018-04-12,2110.0,20.0
2018-04-13,2130.0,20.0
2018-04-16,2100.0,20.0
2018-04-17,2130.0,20.0
2018-04-18,2100.0,20.0
2018-04-19,2180.0,20.0
2018-04-20,2230.0,20.0
2018-04-23,2260.0,20.0
2018-04-24,2200.0,20.0
2018-04-25,2120.0,20.0
2018-04-26,1995.0,20.0
2018-04-27,1830.0,20.0
2018-04-30,1835.0,20.0
2018-05-02,1775.0,20.0
2018-05-03,1680.0,20.0
2018-05-04,1640.0,20.0
2018-05-07,1710.0,20.0
2018-05-08,1625.0,20.0
2018-05-09,1700.0,20.0
2018-05-11,1715.0,20.0
2018-05-14,1675.0,20.0
2018-05-15,1715.0,20.0
2018-05-16,1800.0,20.0
2018-05-17,1880.0,20.0
2018-05-18,1905.0,20.0
2018-05-21,1950.0,20.0
2018-05-22,1930.0,20.0
2018-05-23,1825.0,20.0
2018-05-24,1835.0,20.0
2018-05-25,1830.0,20.0
2018-05-28,1820.0,20.0
2018-05-30,1830.0,20.0
2018-05-31,1885.0,20.0
2018-06-04,1970.0,20.0
2018-06-05,2030.0,20.0
2018-06-06,1985.0,20.0
2018-06-07,1990.0,20.0
2018-06-08,1935.0,20.0
2018-06-20,2000.0,20.0
2018-06-21,2010.0,20.0
2018-06-22,1930.0,20.0
2018-06-25,1870.0,20.0
2018-06-26,1755.0,20.0
2018-06-27,1705.0,20.0
2018-06-28,1665.0,20.0
2018-06-29,1790.0,20.0
2018-07-02,1745.0,20.0
2018-07-03,1720.0,20.0
2018-07-04,1770.0,20.0
2018-07-05,1825.0,20.0
2018-07-06,1785.0,20.0
2018-07-09,1835.0,20.0
2018-07-10,1865.0,20.0
2018-07-11,1900.0,20.0
2018-07-12,1870.0,20.0
2018-07-13,1860.0,20.0
2018-07-16,1800.0,20.0
2018-07-17,1760.0,20.0
2018-07-18,1865.0,20.0
2018-07-19,1870.0,20.0
2018-07-20,1825.0,20.0
2018-07-23,1800.0,20.0
2018-07-24,1800.0,20.0
2018-07-25,1880.0,20.0
2018-07-26,1850.0,20.0
2018-07-27,1965.0,20.0
2018-07-30,2090.0,20.0
2018-07-31,1905.0,20.0
2018-08-01,1980.0,20.0
2018-08-02,1935.0,20.0
2018-08-03,1940.0,20.0
2018-08-06,1960.0,20.0
2018-08-07,1980.0,20.0
2018-08-08,1990.0,20.0
2018-08-09,1935.0,20.0
2018-08-10,1910.0,20.0
2018-08-13,1830.0,20.0
2018-08-14,1800.0,20.0
2018-08-15,1855.0,20.0
2018-08-16,1780.0,20.0
2018-08-20,1835.0,20.0
2018-08-21,1880.0,20.0
2018-08-23,1940.0,20.0
2018-08-24,1910.0,20.0
2018-08-27,1895.0,20.0
2018-08-28,1910.0,20.0
2018-08-29,1910.0,20.0
2018-08-30,1895.0,20.0
2018-08-31,1865.0,20.0
2018-09-03,1855.0,20.0
2018-09-04,1805.0,20.0
2018-09-05,1700.0,20.0
2018-09-06,1725.0,20.0
2018-09-07,1730.0,20.0
2018-09-10,1735.0,20.0
2018-09-12,1760.0,20.0
2018-09-13,1735.0,20.0
2018-09-14,1740.0,20.0
2018-09-17,1715.0,20.0
2018-09-18,1750.0,20.0
2018-09-19,1740.0,20.0
2018-09-20,1805.0,20.0
2018-09-21,1880.0,20.0
2018-09-24,1820.0,20.0
2018-09-25,1815.0,20.0
2018-09-26,1815.0,20.0
2018-09-27,1825.0,20.0
2018-09-28,1835.0,20.0
2018-10-01,1840.0,20.0
2018-10-02,1845.0,20.0
2018-10-03,1865.0,20.0
2018-10-04,1825.0,20.0
2018-10-05,1810.0,20.0
2018-10-08,1750.0,20.0
2018-10-09,1730.0,20.0
2018-10-10,1780.0,20.0
2018-10-11,1720.0,20.0
2018-10-12,1710.0,20.0
2018-10-15,1675.0,20.0
2018-10-16,1750.0,20.0
2018-10-17,1760.0,20.0
2018-10-18,1730.0,20.0
2018-10-19,1700.0,20.0
2018-10-22,1730.0,20.0
2018-10-23,1700.0,20.0
2018-10-24,1670.0,20.0
2018-10-25,1650.0,20.0
2018-10-26,1725.0,20.0
2018-10-29,1665.0,20.0
2018-10-30,1650.0,20.0
2018-10-31,1650.0,20.0
2018-11-01,1645.0,20.0
2018-11-02,1585.0,20.0
2018-11-05,1575.0,20.0
2018-11-06,1630.0,20.0
2018-11-07,1595.0,20.0
2018-11-08,1610.0,20.0
2018-11-09,1580.0,20.0
2018-11-12,1510.0,20.0
2018-11-13,1515.0,20.0
2018-11-14,1565.0,20.0
2018-11-15,1555.0,20.0
2018-11-16,1545.0,20.0
2018-11-19,1485.0,20.0
2018-11-21,1310.0,20.0
2018-11-22,1285.0,20.0
2018-11-23,1295.0,20.0
2018-11-26,1275.0,20.0
2018-11-27,1220.0,20.0
2018-11-28,1255.0,20.0
2018-11-29,1280.0,20.0
2018-11-30,1285.0,20.0
2018-12-03,1305.0,20.0
2018-12-04,1300.0,20.0
2018-12-05,1285.0,20.0
2018-12-06,1295.0,20.0
2018-12-07,1300.0,20.0
2018-12-10,1310.0,20.0
2018-12-11,1285.0,20.0
2018-12-12,1255.0,20.0
2018-12-13,1280.0,20.0
2018-12-14,1285.0,20.0
2018-12-17,1280.0,20.0
2018-12-18,1240.0,20.0
